Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europa Central y del Báltico,CEB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2433.16825149656,2708.11555196599,3162.786212427,3616.07671678731,3823.54941126943,3863.99749191657,3909.49437684882,4086.8331848078,4167.25228968479,4426.45081465551,5184.94294577994,6375.71054766774,7734.9042823438,8864.86218349534,10303.2913536757,12400.7368074793,12756.669820179,12802.1297787448,12935.8019151527,13078.0286493365,13426.2535018552,13563.9099605425,13249.1116802987,12858.426740435,13081.6858807826,14653.7614447134,15889.8762565409,
Suiza,CHE,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,40820,41900,45450,48360,48030,44940,43100,43520,40930,39700,45620,53800,61620,63990,62830,63190,70370,77570,79720,84880,88740,86560,85670,81850,78920,83730,85490,
Islas del Canal,CHI,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,42510,41460,40720,43340,50340,56270,60750,66230,,,,,,,,,,,,,
Chile,CHL,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,3440,3730,4420,5070,5590,5490,5120,5060,4800,4540,4510,5190,6210,7340,8690,10050,9950,10750,12340,14350,15160,14940,14130,13370,13270,14620,15010,
China,CHN,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,420,470,540,650,750,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3680,4340,5050,5930,6770,7510,7940,8270,8740,9600,10390,
Côte d'Ivoire,CIV,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,750,680,700,720,760,760,730,640,590,570,620,770,930,930,970,1070,1160,1190,1130,1230,1330,1450,1660,1840,2030,2180,2290,
Camerún,CMR,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,930,890,840,740,720,710,710,670,640,630,730,910,1010,1060,1110,1240,1320,1330,1350,1370,1430,1490,1440,1380,1340,1450,1500,
"Congo, República Democrática del",COD,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,160,150,130,120,120,110,130,140,190,170,190,200,230,260,290,300,320,340,380,410,440,460,470,460,500,530,
"Congo, República del",COG,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,800,680,430,470,590,580,490,560,630,670,700,770,1130,1470,1700,2150,2490,2750,2710,3500,3750,3970,3090,2240,1930,1780,1720,
Colombia,COL,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1740,2050,2350,2540,2660,2570,2330,2340,2330,2370,2370,2620,3000,3500,4130,4710,5130,5620,6310,7290,7950,8200,7330,6460,5930,6260,6510,
Comoras,COM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1080,870,850,780,790,730,700,730,700,680,790,950,1090,1130,1170,1290,1370,1380,1410,1420,1490,1490,1380,1320,1280,1380,1400,
Cabo Verde,CPV,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1190,1300,1410,1350,1350,1330,1370,1410,1350,1300,1520,1900,2160,2300,2820,3300,3480,3400,3510,3440,3490,3360,3210,3130,3080,3400,3630,
Costa Rica,CRI,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2720,2960,3170,3220,3330,3380,3440,3550,3660,3750,4010,4360,4620,5030,5640,6370,6490,7180,8000,9150,9740,10090,10400,10770,11150,11590,11700,
Estados pequeos del Caribe,CSS,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,2962.63917753223,3000.39529407669,3361.98022222162,3660.75678451663,3803.95358570938,4059.73529997508,4535.71116042487,4849.19027913939,4985.48657516982,5190.96169599728,5659.25352598975,6289.96440125054,6845.06700715104,7585.6698307678,8296.99600914557,9202.03670870117,8841.63774018019,8957.08507367198,8807.22213798342,9504.88082475437,9923.02722976723,9859.88593093959,9835.35731662236,9325.94310042801,9311.68984151858,9588.09420264957,10088.3342145698,
Cuba,CUB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,1870,2140,2550,2710,2500,2240,2400,2620,2760,2820,3100,3490,3960,4530,5000,5460,5520,5610,5930,6280,6640,6840,7230,7480,,,,
Curacao,CUW,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,19930,19820,19620,19100,19100,20100,20370,
Islas Caimán,CYM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,70220,71050,49570,44030,42930,44370,45870,47320,,,
Chipre,CYP,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,10970,11680,12810,13880,14280,15490,14340,14180,14170,14510,16710,20260,23990,25600,27340,31970,32780,32040,32550,29680,27830,26510,25960,24700,24580,26620,27710,
