Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Brunei Darussalam,BRN,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,1951316867.87208,1755703211.92875,2484083056.19948,2882181878.80046,4032630648.98327,5229408432.08786,4828377151.61646,6938901523.91055,3977383595.39246,5016203728.47402,6430078160.74035,5683735282.5216,3778236925.05165,5250593999.71505,2156649811.85869,1469939557.95486,1984437361.8247,939946758.009005,893760724.315115,
Bhután,BTN,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,-37902200.9039127,84937868.851584,-112487375.477322,-65940668.746959,-323097108.093479,-526214663.79524,-377036786.347723,-472191887.71836,-490282016.18854,-548326099.367138,-622690306.019587,-540419849.646596,-478153519.866952,-500801565.664002,
Botswana,BWA,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,426936846.775275,221630751.620652,299652984.02476,494954771.027386,721431864.934183,169705244.824747,583453155.307172,545147749.110276,595211329.606014,263353892.002871,716788889.541383,316806215.974861,1597510497.87463,1950580298.90436,1654312720.13206,149529674.393532,-648182389.002999,-744133493.778199,-131913618.139118,-820817535.451956,646614169.091273,1713317042.24251,301219213.709232,1202538243.38696,927062719.468481,116921483.410047,-1396883004.56261,
República Centroafricana,CAF,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-12950157.4907067,-24675583.8111569,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadá,CAN,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-22353009553.3951,-13907010266.7101,-5061141976.25065,2428067198.30117,-8985483076.79472,-8999712921.89456,845351118.081352,18494424438.8816,15757824510.9175,12512912205.0114,10432942306.8006,23235547976.4209,21933097496.4069,17990236971.1871,11050809835.8733,3177944944.24202,-40775263975.9539,-58162670440.4459,-49746988786.878,-64582432568.5319,-58110120944.9089,-41873919951.8706,-54695520049.8056,-47262580270.0756,-46235966235.5002,-40435654858.6381,-35688200343.4011,
Europa Central y del Báltico,CEB,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suiza,CHE,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,16875486425.2117,16729198997.5817,20702527127.2048,19915939191.4305,25316670255.3723,25194278318.4895,28283270188.0401,30844494186.2675,20953130180.9028,23781932578.1954,42367386169.6901,55170863215.1211,52795167544.2013,60350709355.3556,46895775894.9599,14358330659.6564,40958311492.1081,88315496578.8217,57071152571.5756,75135436767.9646,81054419275.8749,59087798785.0179,72111675814.0901,62620847146.9544,50798774165.3287,49094756565.2582,49150831505.5091,
Islas del Canal,CHI,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-2552200000,-1587000000,-1349600000,-3082652307.59382,-3660191808.39716,-3918430456.4206,99338040.6829709,-897526442.929414,-1100127918.63704,-580075884.957633,-222193545.398375,2821176352.4679,1824625140.66785,7004224398.15737,7423002524.34518,-6698524204.55871,3220017296.13571,3068788709.44463,-6833478451.22991,-11838164429.813,-13261392308.4166,-5225401385.87947,-5735259423.99198,-4974102616.22091,-6444550288.18406,-11640428494.1068,-10453536549.9369,
China,CHN,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-11609000000,6908000000,1618390000,7243000000,36963000000,31472000000,21115000000,20518382000,17401000000,35421997979.6472,43051582861.334,68940960688.562,132378493766.399,231843041064.414,353182677237.316,420568516143.545,243256567919.618,237810389607.955,136096761577.55,215391747469.442,148203949879.877,236046577873.629,293022317035.547,191337035941.994,188676126121.162,24130909184.4985,102909876008.388,
