Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Europa Central y del Báltico,CEB,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,80313000000,90637000000,119166000000,138026000000,149846000000,163107000000,159373000000,177372000000,192101000000,215355000000,276243000000,359397000000,411334000000,507955000000,653137000000,785752000000,551789000000,644658000000,778127000000,736152000000,768206000000,804000000000,709456000000,723808000000,832842000000,948657000000,934026000000,
Suiza,CHE,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,60828000000,67997000000,80152000000,78224000000,75960000000,80094000000,79857000000,82521000000,84102000000,87189000000,100239000000,115799000000,126574000000,141400000000,161180000000,183574000000,155378000000,176281000000,208220000000,295961000000,321509000000,275741000000,253027000000,270128000000,269834000000,279528000000,277830000000,
Islas del Canal,CHI,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,11133000000,11820000000,15898000000,19199000000,20822000000,19882000000,15987000000,18507000000,17429000000,17091000000,19322000000,24794000000,32735000000,38406000000,47164000000,62787000000,42806000000,59207000000,74695000000,80073000000,79353000000,72852000000,62388000000,59376000000,65230000000,74747000000,69802000000,
China,CHN,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,103959000000,115615000000,132084000000,138833000000,142370000000,140237000000,165699000000,225094000000,243553000000,295170000000,412760000000,561229000000,659953000000,791461000000,956116000000,1132567000000,1005923000000,1396247000000,1743484000000,1818405000000,1949990000000,1959233000000,1679566000000,1587925000000,1843792000000,2135748000000,2078386000000,
Côte d'Ivoire,CIV,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,2115000000,1917000000,2931000000,2902000000,2781000000,2991000000,2898000000,2482000000,2548000000,2599000000,3279000000,4715000000,5865000000,5820000000,6683000000,7884000000,6960000000,7849000000,6720000000,9770000000,12483000000,11178000000,9532000000,8404000000,9614000000,10970000000,10483000000,
Camerún,CMR,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1102000000,1083000000,1199000000,1227000000,1359000000,1495000000,1318000000,1489000000,1852000000,1866000000,2163000000,2406000000,2735000000,3150000000,4657000000,5686000000,4442000000,5133000000,6800000000,6515000000,6649000000,7553000000,6045000000,5206000000,4796000000,5656000000,5646000000,
"Congo, República Democrática del",COD,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,614000000,667000000,871000000,1089000000,770000000,1102000000,568000000,683000000,790000000,1081000000,1495000000,2051000000,2690000000,2892000000,3400000000,4300000000,3900000000,4500000000,5500000000,6100000000,6300000000,7087000000,6300000000,4800000000,4900000000,6400000000,6800000000,
"Congo, República del",COG,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,581000000,631000000,670000000,1551000000,926000000,680000000,821000000,465000000,682000000,675000000,831000000,969000000,1304000000,2013000000,3929000000,3540000000,4447000000,4369000000,7013000000,7349000000,8372000000,10099000000,10550000000,11270000000,4560000000,3486000000,2242000000,
Colombia,COL,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,9832000000,11883000000,13853000000,13684000000,15378000000,14635000000,10659000000,11539000000,12834000000,12711000000,13889000000,16746000000,21204000000,26162000000,32897000000,39669000000,32898000000,40486000000,54233000000,59048000000,59397000000,64029000000,54058000000,44889000000,46076000000,51233000000,52703000000,
Comoras,COM,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,59000000,53000000,63000000,57000000,55000000,54000000,55000000,43000000,51000000,53000000,70000000,86000000,99000000,115000000,138000000,180000000,210000000,233000000,277000000,273000000,284000000,278000000,214000000,219000000,253000000,243000000,230000000,
Cabo Verde,CPV,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,154000000,209000000,252000000,234000000,235000000,228000000,246000000,230000000,234000000,276000000,351000000,431000000,438000000,542000000,750000000,825000000,709000000,742000000,947000000,766000000,725000000,768000000,604000000,666000000,789000000,816000000,796000000,
Costa Rica,CRI,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,3515000000,3789000000,4090000000,4327000000,4970000000,6239000000,6355000000,6389000000,6569000000,7188000000,7663000000,8268000000,9824000000,11548000000,12952000000,15372000000,11395000000,13570000000,16220000000,17591000000,18127000000,17509000000,16273000000,15456000000,16796000000,18289000000,17573000000,
Estados pequeos del Caribe,CSS,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,7502000000,7336000000,9074000000,9907000000,11709000000,11691000000,11304000000,12970000000,12949000000,12922000000,13927000000,15691000000,18715000000,21323000000,24547000000,29335000000,21413000000,21679000000,27229000000,27681000000,31060000000,29265000000,25545000000,23092000000,23726000000,26433000000,25763000000,
Cuba,CUB,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1500000000,2055000000,2825000000,3205000000,3987000000,4197000000,4365000000,4843000000,4839000000,4176000000,4673000000,5615000000,8084000000,10258000000,10886000000,15373000000,9619000000,11496000000,14243000000,13869000000,14707000000,13037000000,11702000000,10270000000,10172000000,11484000000,9901000000,
Curacao,CUW,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,2130000000,2254000000,1906000000,1819000000,1532000000,1432000000,1469000000,1757000000,1461000000,
Islas Caimán,CYM,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,1172000000,1048000000,1054000000,1130000000,936000000,872000000,962000000,960000000,980000000,1023000000,986000000,1023000000,1098000000,1251000000,1420000000,
Chipre,CYP,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,2533000000,3017000000,3690000000,3979000000,3655000000,3685000000,3618000000,3846000000,3923000000,4086000000,4466000000,5502000000,6316000000,6928000000,8615000000,10644000000,7835000000,8569000000,8678000000,7296000000,6314000000,7996000000,7023000000,7830000000,9231000000,10815000000,9127000000,
República Checa,CZE,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,14615000000,17310000000,25085000000,27800000000,27105000000,28340000000,28463000000,31974000000,36297000000,40656000000,51728000000,69967000000,76512000000,93191000000,118169000000,142038000000,105048000000,126652000000,152125000000,141412000000,144259000000,154237000000,141364000000,143040000000,163352000000,184659000000,179039000000,
Alemania,DEU,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,342611000000,381388000000,463872000000,459098000000,445731000000,471474000000,474047000000,497197000000,486119000000,490283000000,604612000000,715742000000,777073000000,906684000000,1054983000000,1185067000000,926347000000,1054814000000,1254869000000,1154852000000,1181233000000,1207193000000,1051132000000,1055326000000,1162907000000,1284353000000,1233978000000,
Djibouti,DJI,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,211000000,196000000,177000000,172000000,176000000,196000000,194000000,207000000,196000000,197000000,238000000,261000000,277000000,336000000,473000000,574000000,451000000,374000000,511000000,564000000,719000000,803000000,871000000,2327000000,3576000000,3603000000,4138000000,
Dominica,DMA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,93000000,96000000,113000000,133000000,135000000,132000000,138000000,148000000,131000000,116000000,128000000,144000000,165000000,167000000,196000000,247000000,225000000,224000000,226000000,208000000,203000000,230000000,214000000,214000000,198000000,302000000,294000000,
Dinamarca,DNK,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,31309000000,36691000000,45939000000,45291000000,44902000000,46873000000,45753000000,45557000000,45322000000,50320000000,57429000000,68157000000,75581000000,85507000000,98027000000,109362000000,83133000000,83052000000,95663000000,91925000000,97348000000,99572000000,85623000000,85513000000,92957000000,102605000000,97824000000,
República Dominicana,DOM,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,4654000000,4903000000,5170000000,5727000000,6609000000,7597000000,8041000000,9479000000,8779000000,8838000000,7627000000,7888000000,9869000000,12174000000,13597000000,15993000000,12296000000,15489000000,17409000000,17739000000,16873000000,17273000000,16907000000,17399000000,17734000000,20209000000,20288000000,
Argelia,DZA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,8785000000,9154000000,10100000000,9090000000,8688000000,9400000000,9162000000,9171000000,9940000000,11969000000,12380000000,18169000000,20357000000,21456000000,27631000000,39479000000,39294000000,40473000000,47247000000,50378000000,55028000000,58580000000,51702000000,47089000000,46059000000,46330000000,41934000000,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,253089418109.587,297333707593.134,366047581628.064,386585429540.514,395341069972.266,328775598455.888,368399022187.242,475523092646.728,479027749269.17,549665983846.788,693862000000,907845000000,1070003000000,1248736000000,1477281000000,1763847000000,1496247000000,2050689000000,2548181000000,2679762000000,2837774000000,2843374000000,2493407000000,2398846000000,2788382000000,3207437000000,3125827000000,
inicial del dividendo demográfico,EAR,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,384116458164.481,407985318146.492,468322077971.762,517988017981.331,577615593498.941,569359806685.741,571038610216.307,655977454477.272,627525941659.737,645425833718.931,727267505834.008,916831068930.047,1121397686489.58,1305476089601.5,1557543030683.08,1920742558462.55,1517911848292.37,1926796668569.2,2368373082418.27,2483694664560.57,2507296077918.08,2523674429068.61,2282341413186.04,2134136917976.07,2401814928880.96,2634046746148.54,2522386277910.9,
Asia oriental y el Pacífico,EAS,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,943652935080.359,1100733598013.85,1343500250275.44,1409555432441.72,1426693079146.32,1180246355388.97,1291420935062.09,1597348140116.04,1479730933917.29,1572854352672.76,1870214735500.84,2345751358036.55,2692969670269.93,3092887983882.32,3520236831302.81,4165883383490.1,3348322011145.71,4421454478380.58,5385196973684.88,5613610153694.43,5761627214414.68,5743256958660.66,4935590745846.72,4722510008815.4,5402200980162.12,6076324984505.27,5861447258125.04,
Europa y Asia central (excluido altos ingresos),ECA,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,98046061715.1523,109780535216.216,145683498894.688,167238562194.715,177504410186.845,157535254856.89,127258735619.358,154749536930.404,155158468697.555,177312399077.903,229849752178.059,307348549440.658,377238517299.728,474099299628.872,623240981842.21,795524801796.493,537142783675.392,667758697265.541,864676885726.956,888100386844.689,915852864488.172,842033163110.61,626597244979.629,605933114692.839,725704479846.156,764743648375.712,767995405116.037,
Europa y Asia central,ECS,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1712745329086.48,1947781417991.72,2367056481719.42,2464173113401.07,2475305664312.39,2603529411287.4,2597115906453.71,2784161089056.82,2755818779091.21,2896696583844.96,3500248661181.42,4239612788561.15,4717927315128.07,5448008745843.17,6423524077936.05,7307320588109.29,5465299202083.65,6230812717920.96,7379242569704.46,7116813909422.06,7223065445139.95,7224483258891.91,6174606554144.14,6186605773791.74,6855941492516.42,7529200913107.52,7342266768018.03,
Ecuador,ECU,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,2562000000,3690000000,4193000000,3935000000,4955000000,5576000000,3017000000,3721000000,5363000000,6431000000,6703000000,8226000000,10287000000,12114000000,13893000000,18852000000,15090000000,20591000000,24438000000,25477000000,27146000000,27726000000,21518000000,16324000000,20010000000,23177000000,22564000000,
"Egipto, República Árabe de",EGY,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,8214000000,10185000000,11739000000,13019000000,13211000000,16166000000,16022000000,14578000000,13376000000,12770000000,12950000000,15950000000,22449000000,27300000000,37100000000,48382000000,44946000000,52923000000,58903000000,69200000000,66180000000,66786000000,63574000000,55789000000,61627000000,72000000000,70919000000,
Zona del Euro,EMU,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1184598743923.75,1345507095831.99,1638723859936.52,1673941105846.72,1646512449296.9,1761037544316.45,1788454000000,1913280000000,1882030000000,1950392000000,2380435000000,2851108000000,3135558000000,3557992000000,4175772000000,4705282000000,3562688000000,4002092000000,4688558000000,4351317000000,4419249000000,4469115000000,3835842000000,3833516000000,4264771000000,4740248000000,4558250000000,
Eritrea,ERI,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,349000000,489000000,454000000,553000000,525000000,508000000,510000000,471000000,423000000,538000000,433000000,480000000,490000000,495000000,510000000,600000000,590000000,660000000,950000000,970000000,1040000000,1130000000,1020000000,957000000,1027000000,1066000000,1147000000,
España,ESP,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,77525000000,88863000000,113537000000,121221000000,115670000000,136662000000,135346000000,156143000000,154650000000,165105000000,208602000000,258331000000,288786000000,328696000000,389301000000,420803000000,293218000000,327016000000,376606000000,337338000000,340598000000,358860000000,311851000000,310921000000,351981000000,390562000000,372750000000,
Estonia,EST,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,895000000,1654000000,2546000000,3224000000,4437000000,4787000000,4109000000,5052000000,5230000000,5863000000,7967000000,8336000000,10238000000,13449000000,15677000000,16026000000,10140000000,12287000000,17459000000,18085000000,18464000000,18296000000,14521000000,14959000000,16674000000,19140000000,18022000000,
Etiopía,ETH,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,787000000,1033000000,1145000000,1401000000,1113000000,1517000000,1538000000,1260000000,1811000000,1594000000,2686000000,2874000000,4095000000,5207000000,5809000000,8277000000,7668000000,8602000000,8896000000,11913000000,12072000000,15357000000,16702000000,16429000000,15761000000,15305000000,14554000000,
Unión Europea,EUU,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1319963741897.46,1507486763110.6,1841030992272.29,1893022960706.25,1873460682825.15,2002907883608.39,2028842000000,2172471000000,2142644000000,2237896000000,2738275000000,3303655000000,3644819000000,4165395000000,4932361000000,5594618000000,4196951000000,4734658000000,5558134000000,5167075000000,5258989000000,5348796000000,4609273000000,4621872000000,5161125000000,5751623000000,5542323000000,
Frágiles y situaciones de conflicto afectados,FCS,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,53086908843.4004,51519964344.9017,58864428685.43,61797614984.8212,69564391251.5626,71390576734.4694,70393335205.7384,75102531313.6348,85100034438.1456,74074975314.9528,76956940613.3924,113426704334.587,139785108672.136,160182089257.492,201442487749.616,254292862369.102,235878501270.735,268213981619.587,310059774602.343,331017106063.758,352958442881.085,341506206633.871,298535537963.234,235548760345.531,233631880346.795,268947550829.773,267477281957.58,
