,industry,variable,value
115,56 SERVICIOS DE COMIDAS Y BEBIDAS,1997,31.7
116,58 EDICIÓN,1997,220.86
117,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",1997,3.0
118,68 ACTIVIDADES INMOBILIARIAS,1997,27817.97
119,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,1997,601.01
120,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,1997,472.68
121,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,1997,3.49
122,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,1997,164.19
123,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",1997,526.34
124,77 ACTIVIDADES DE ALQUILER,1997,60.1
125,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",1997,429.72
126,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,1997,6.28
127,85 EDUCACIÓN,1997,25.04
128,86 ACTIVIDADES SANITARIAS,1997,1.89
129,92 ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS,1997,2.4
130,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",1997,1.5
131,"95 REPARACIÓN ORDENADORES, EFECTOS PERSONALES",1997,141.09
132,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",1998,1514.55
133,13 INDUSTRIA TEXTIL,1998,3.0
134,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,1998,12.62
135,21 FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS,1998,3.01
136,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,1998,22350.14
137,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,1998,69.13
138,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,1998,0.0
139,32 OTRAS INDUSTRIAS MANUFACTURERAS,1998,6.02
140,41 CONSTRUCCIÓN DE EDIFICIOS,1998,2182.09
141,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1998,1981.55
142,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1998,6.6
143,50 TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES,1998,1502.53
144,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,1998,34.44
145,55 SERVICIOS DE ALOJAMIENTO,1998,122.61
146,56 SERVICIOS DE COMIDAS Y BEBIDAS,1998,92.2
147,58 EDICIÓN,1998,824.09
148,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",1998,12.62
149,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",1998,0.0
150,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,1998,183.31
151,68 ACTIVIDADES INMOBILIARIAS,1998,3140.33
152,69 ACTIVIDADES JURÍDICAS Y DE CONTABILIDAD,1998,422.69
153,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,1998,487.06
154,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,1998,18.04
155,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,1998,131.32
156,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",1998,2.85
157,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",1998,141.24
158,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,1998,0.6000000000000001
159,85 EDUCACIÓN,1998,4.51
160,86 ACTIVIDADES SANITARIAS,1998,4.51
161,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",1998,456.52
162,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",1999,1.51
163,10 INDUSTRIA DE LA ALIMENTACIÓN,1999,60.7
164,11 FABRICACIÓN DE BEBIDAS,1999,296.91
165,13 INDUSTRIA TEXTIL,1999,6.01
166,20 INDUSTRIA QUÍMICA,1999,20647.8
167,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,1999,3580.92
168,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO,1999,4033.74
169,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE",1999,105.18
170,41 CONSTRUCCIÓN DE EDIFICIOS,1999,1361.5
171,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,1999,60.1
172,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,1999,2.0
173,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1999,283.49
174,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1999,736.83
175,49 TRANSPORTE TERRESTRE Y POR TUBERÍA,1999,0.87
176,50 TRANSPORTE MARÍTIMO Y POR VÍAS NAVEGABLES INTERIORES,1999,1048.23
177,51 TRANSPORTE AÉREO,1999,6.01
178,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,1999,0.0
179,55 SERVICIOS DE ALOJAMIENTO,1999,435.71
